kind,visibility,name,qualified_name,module_path,section_path,mutual_parent,proof_group,shared_proof_owner,decl_line,decl_end_line,declaration_span_lines,proof_line,proof_end_line,proof_terminator,proof_span_lines,proof_body_nonblank_lines,internal_dependencies_count,internal_dependencies,internal_callers_count,internal_callers,qualified_external_use_count,qualified_external_uses,confirmed_external_root,reachable_from_any_external_root,route_root,reachable_from_route_root,correctness_root,reachable_from_correctness_root,config_root,reachable_from_config_root,loopjam_root,reachable_from_loopjam_root,family,responsibility,theory_complexity,duplication_or_brittleness,recommended_refactor,priority,refactor_risk,api_constraint
Lemma,Public,erase_parallelize_certified_dims_to_loop_eq,ParallelCodegen.erase_parallelize_certified_dims_to_loop_eq,ParallelCodegen,,,erase_parallelize_certified_dims_to_loop_eq,yes,706,715,10,709,714,Qed,6,4,3,erase_parallelize_dim_to_loop_eq;erase_to_loop;parallelize_certified_dims,2,annotated_codegen_many_erase_eq;annotated_codegen_many_raw_erase_eq,0,,no,yes,no,no,no,yes,no,yes,no,no,Annotation erasure preservation,Prefer ParallelLoop annotation library; wrappers may remain here,Structural fact that changing SeqMode to ParMode/VecMode does not alter erased loop syntax.,"Parallel and vector mutual proofs are line-for-line duplicates, while ParallelLoop already proves analogous erasure lemmas for its own erased AST.",Add one local generic mode-change/erasure bridge or derive through ParallelLoop erasure; retain every public theorem as a one-line wrapper.,P1 deduplicate,medium,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,annotated_codegen_many_erase_eq,ParallelCodegen.annotated_codegen_many_erase_eq,ParallelCodegen,,,annotated_codegen_many_erase_eq,yes,716,736,21,722,735,Qed,14,12,4,annotated_codegen_many;erase_parallelize_certified_dims_to_loop_eq;erase_to_loop;tagged_prepared_codegen_erase_eq,1,annotated_codegen_many_refines_prepared_codegen,0,,no,yes,no,no,no,yes,no,yes,no,no,Codegen result erasure,ParallelCodegen proof composition,Monadic inversion plus annotation-erasure; low theory complexity.,Eight normal/raw/parallel/vector/many lemmas repeat the same proof skeleton.,Introduce Local generic lemmas parameterized by prepared generator and erasure-preserving annotation; retain public statements as wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,annotated_codegen_many_raw_erase_eq,ParallelCodegen.annotated_codegen_many_raw_erase_eq,ParallelCodegen,,,annotated_codegen_many_raw_erase_eq,yes,737,757,21,743,756,Qed,14,12,4,annotated_codegen_many_raw;erase_parallelize_certified_dims_to_loop_eq;erase_to_loop;tagged_prepared_codegen_raw_erase_eq,1,annotated_codegen_many_raw_refines_prepared_codegen,0,,no,yes,no,no,no,yes,no,yes,no,no,Codegen result erasure,ParallelCodegen proof composition,Monadic inversion plus annotation-erasure; low theory complexity.,Eight normal/raw/parallel/vector/many lemmas repeat the same proof skeleton.,Introduce Local generic lemmas parameterized by prepared generator and erasure-preserving annotation; retain public statements as wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,annotated_codegen_refines_prepared_codegen,ParallelCodegen.annotated_codegen_refines_prepared_codegen,ParallelCodegen,,,annotated_codegen_refines_prepared_codegen,yes,758,781,24,767,780,Qed,14,12,3,annotated_codegen;annotated_codegen_erase_eq;erase_to_loop_semantics,1,annotated_codegen_correct_general,0,,no,yes,no,yes,no,no,no,no,no,no,Annotated execution to prepared-loop refinement,ParallelCodegen proof composition; hard semantic theorem remains in ParallelLoop,Combines result erasure with ParallelLoop.semantics_refines_erased; no transformation-specific reasoning.,Six proof bodies are alpha-equivalent and jointly occupy 84 proof-span lines.,Prove one Local generic refinement combinator and keep all six public theorems as explicit wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,annotated_codegen_raw_refines_prepared_codegen,ParallelCodegen.annotated_codegen_raw_refines_prepared_codegen,ParallelCodegen,,,annotated_codegen_raw_refines_prepared_codegen,yes,782,805,24,791,804,Qed,14,12,3,annotated_codegen_raw;annotated_codegen_raw_erase_eq;erase_to_loop_semantics,1,annotated_codegen_raw_correct_general,0,,no,yes,no,yes,no,no,no,no,no,no,Annotated execution to prepared-loop refinement,ParallelCodegen proof composition; hard semantic theorem remains in ParallelLoop,Combines result erasure with ParallelLoop.semantics_refines_erased; no transformation-specific reasoning.,Six proof bodies are alpha-equivalent and jointly occupy 84 proof-span lines.,Prove one Local generic refinement combinator and keep all six public theorems as explicit wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,vector_annotated_codegen_refines_prepared_codegen,ParallelCodegen.vector_annotated_codegen_refines_prepared_codegen,ParallelCodegen,,,vector_annotated_codegen_refines_prepared_codegen,yes,806,829,24,815,828,Qed,14,12,3,erase_to_loop_semantics;vector_annotated_codegen;vector_annotated_codegen_erase_eq,1,vector_annotated_codegen_correct_general,0,,no,yes,no,yes,no,no,no,no,no,no,Annotated execution to prepared-loop refinement,ParallelCodegen proof composition; hard semantic theorem remains in ParallelLoop,Combines result erasure with ParallelLoop.semantics_refines_erased; no transformation-specific reasoning.,Six proof bodies are alpha-equivalent and jointly occupy 84 proof-span lines.,Prove one Local generic refinement combinator and keep all six public theorems as explicit wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,vector_annotated_codegen_raw_refines_prepared_codegen,ParallelCodegen.vector_annotated_codegen_raw_refines_prepared_codegen,ParallelCodegen,,,vector_annotated_codegen_raw_refines_prepared_codegen,yes,830,853,24,839,852,Qed,14,12,3,erase_to_loop_semantics;vector_annotated_codegen_raw;vector_annotated_codegen_raw_erase_eq,1,vector_annotated_codegen_raw_correct_general,0,,no,yes,no,yes,no,no,no,no,no,no,Annotated execution to prepared-loop refinement,ParallelCodegen proof composition; hard semantic theorem remains in ParallelLoop,Combines result erasure with ParallelLoop.semantics_refines_erased; no transformation-specific reasoning.,Six proof bodies are alpha-equivalent and jointly occupy 84 proof-span lines.,Prove one Local generic refinement combinator and keep all six public theorems as explicit wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,annotated_codegen_many_refines_prepared_codegen,ParallelCodegen.annotated_codegen_many_refines_prepared_codegen,ParallelCodegen,,,annotated_codegen_many_refines_prepared_codegen,yes,854,877,24,863,876,Qed,14,12,3,annotated_codegen_many;annotated_codegen_many_erase_eq;erase_to_loop_semantics,1,annotated_codegen_many_correct_general,0,,no,yes,no,no,no,yes,no,yes,no,no,Annotated execution to prepared-loop refinement,ParallelCodegen proof composition; hard semantic theorem remains in ParallelLoop,Combines result erasure with ParallelLoop.semantics_refines_erased; no transformation-specific reasoning.,Six proof bodies are alpha-equivalent and jointly occupy 84 proof-span lines.,Prove one Local generic refinement combinator and keep all six public theorems as explicit wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,annotated_codegen_many_raw_refines_prepared_codegen,ParallelCodegen.annotated_codegen_many_raw_refines_prepared_codegen,ParallelCodegen,,,annotated_codegen_many_raw_refines_prepared_codegen,yes,878,901,24,887,900,Qed,14,12,3,annotated_codegen_many_raw;annotated_codegen_many_raw_erase_eq;erase_to_loop_semantics,1,annotated_codegen_many_raw_correct_general,0,,no,yes,no,no,no,yes,no,yes,no,no,Annotated execution to prepared-loop refinement,ParallelCodegen proof composition; hard semantic theorem remains in ParallelLoop,Combines result erasure with ParallelLoop.semantics_refines_erased; no transformation-specific reasoning.,Six proof bodies are alpha-equivalent and jointly occupy 84 proof-span lines.,Prove one Local generic refinement combinator and keep all six public theorems as explicit wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Theorem,Public,annotated_codegen_correct_general,ParallelCodegen.annotated_codegen_correct_general,ParallelCodegen,,,annotated_codegen_correct_general,yes,902,923,22,911,922,Qed,12,10,2,annotated_codegen;annotated_codegen_refines_prepared_codegen,1,checked_annotated_codegen_correct_general,0,,no,yes,no,yes,no,no,no,no,no,no,Prepared-codegen correctness composition,ParallelCodegen top-level semantic composition,Combines a refinement wrapper with existing PrepareCodegen correctness.,Six alpha-equivalent wrappers; more importantly their hypotheses require `trace_safe pl` and do not mention validator certificate soundness.,Factor the proof skeleton locally. Separately add a stronger integration theorem if the public claim is intended to cover static validation of all parallel executions.,P0 deduplicate and contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Theorem,Public,annotated_codegen_raw_correct_general,ParallelCodegen.annotated_codegen_raw_correct_general,ParallelCodegen,,,annotated_codegen_raw_correct_general,yes,924,945,22,933,944,Qed,12,10,2,annotated_codegen_raw;annotated_codegen_raw_refines_prepared_codegen,1,checked_annotated_codegen_correct_general,0,,no,yes,no,yes,no,no,no,no,no,no,Prepared-codegen correctness composition,ParallelCodegen top-level semantic composition,Combines a refinement wrapper with existing PrepareCodegen correctness.,Six alpha-equivalent wrappers; more importantly their hypotheses require `trace_safe pl` and do not mention validator certificate soundness.,Factor the proof skeleton locally. Separately add a stronger integration theorem if the public claim is intended to cover static validation of all parallel executions.,P0 deduplicate and contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Theorem,Public,vector_annotated_codegen_correct_general,ParallelCodegen.vector_annotated_codegen_correct_general,ParallelCodegen,,,vector_annotated_codegen_correct_general,yes,946,967,22,955,966,Qed,12,10,2,vector_annotated_codegen;vector_annotated_codegen_refines_prepared_codegen,1,checked_vector_annotated_codegen_correct_general,0,,no,yes,no,yes,no,no,no,no,no,no,Prepared-codegen correctness composition,ParallelCodegen top-level semantic composition,Combines a refinement wrapper with existing PrepareCodegen correctness.,Six alpha-equivalent wrappers; more importantly their hypotheses require `trace_safe pl` and do not mention validator certificate soundness.,Factor the proof skeleton locally. Separately add a stronger integration theorem if the public claim is intended to cover static validation of all parallel executions.,P0 deduplicate and contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Theorem,Public,vector_annotated_codegen_raw_correct_general,ParallelCodegen.vector_annotated_codegen_raw_correct_general,ParallelCodegen,,,vector_annotated_codegen_raw_correct_general,yes,968,989,22,977,988,Qed,12,10,2,vector_annotated_codegen_raw;vector_annotated_codegen_raw_refines_prepared_codegen,1,checked_vector_annotated_codegen_correct_general,0,,no,yes,no,yes,no,no,no,no,no,no,Prepared-codegen correctness composition,ParallelCodegen top-level semantic composition,Combines a refinement wrapper with existing PrepareCodegen correctness.,Six alpha-equivalent wrappers; more importantly their hypotheses require `trace_safe pl` and do not mention validator certificate soundness.,Factor the proof skeleton locally. Separately add a stronger integration theorem if the public claim is intended to cover static validation of all parallel executions.,P0 deduplicate and contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Theorem,Public,annotated_codegen_many_correct_general,ParallelCodegen.annotated_codegen_many_correct_general,ParallelCodegen,,,annotated_codegen_many_correct_general,yes,990,1011,22,999,1010,Qed,12,10,2,annotated_codegen_many;annotated_codegen_many_refines_prepared_codegen,1,checked_annotated_codegen_many_correct_general,0,,no,yes,no,no,no,yes,no,yes,no,no,Prepared-codegen correctness composition,ParallelCodegen top-level semantic composition,Combines a refinement wrapper with existing PrepareCodegen correctness.,Six alpha-equivalent wrappers; more importantly their hypotheses require `trace_safe pl` and do not mention validator certificate soundness.,Factor the proof skeleton locally. Separately add a stronger integration theorem if the public claim is intended to cover static validation of all parallel executions.,P0 deduplicate and contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Theorem,Public,annotated_codegen_many_raw_correct_general,ParallelCodegen.annotated_codegen_many_raw_correct_general,ParallelCodegen,,,annotated_codegen_many_raw_correct_general,yes,1012,1033,22,1021,1032,Qed,12,10,2,annotated_codegen_many_raw;annotated_codegen_many_raw_refines_prepared_codegen,1,checked_annotated_codegen_many_correct_general,0,,no,yes,no,no,no,yes,no,yes,no,no,Prepared-codegen correctness composition,ParallelCodegen top-level semantic composition,Combines a refinement wrapper with existing PrepareCodegen correctness.,Six alpha-equivalent wrappers; more importantly their hypotheses require `trace_safe pl` and do not mention validator certificate soundness.,Factor the proof skeleton locally. Separately add a stronger integration theorem if the public claim is intended to cover static validation of all parallel executions.,P0 deduplicate and contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,checked_annotated_codegen_ok_inv,ParallelCodegen.checked_annotated_codegen_ok_inv,ParallelCodegen,,,checked_annotated_codegen_ok_inv,yes,1034,1065,32,1041,1064,Qed,24,22,5,all_es_safeb;all_es_safeb_sound;annotated_codegen;annotated_codegen_raw;checked_annotated_codegen,1,checked_annotated_codegen_correct_general,0,,no,yes,no,yes,no,no,no,no,no,no,Checked fallback inversion,Generic imp/result fallback utility local to ParallelCodegen,Case analysis on two boolean checks and two mayReturn binds.,Three 24-line proofs are the same control-flow argument; vector merely strengthens the accepted property.,"Prove one Local generic `checked_fallback_ok_inv` over predicate/checker soundness, then specialize; preserve names/types.",P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,checked_vector_annotated_codegen_ok_inv,ParallelCodegen.checked_vector_annotated_codegen_ok_inv,ParallelCodegen,,,checked_vector_annotated_codegen_ok_inv,yes,1066,1099,34,1075,1098,Qed,24,22,5,checked_vector_annotated_codegen;vector_annotated_codegen;vector_annotated_codegen_raw;vector_codegen_safeb;vector_codegen_safeb_sound,1,checked_vector_annotated_codegen_correct_general,0,,no,yes,no,yes,no,no,no,no,no,no,Checked fallback inversion,Generic imp/result fallback utility local to ParallelCodegen,Case analysis on two boolean checks and two mayReturn binds.,Three 24-line proofs are the same control-flow argument; vector merely strengthens the accepted property.,"Prove one Local generic `checked_fallback_ok_inv` over predicate/checker soundness, then specialize; preserve names/types.",P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,checked_annotated_codegen_many_ok_inv,ParallelCodegen.checked_annotated_codegen_many_ok_inv,ParallelCodegen,,,checked_annotated_codegen_many_ok_inv,yes,1100,1131,32,1107,1130,Qed,24,22,5,all_es_safeb;all_es_safeb_sound;annotated_codegen_many;annotated_codegen_many_raw;checked_annotated_codegen_many,1,checked_annotated_codegen_many_correct_general,0,,no,yes,no,no,no,yes,no,yes,no,no,Checked fallback inversion,Generic imp/result fallback utility local to ParallelCodegen,Case analysis on two boolean checks and two mayReturn binds.,Three 24-line proofs are the same control-flow argument; vector merely strengthens the accepted property.,"Prove one Local generic `checked_fallback_ok_inv` over predicate/checker soundness, then specialize; preserve names/types.",P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Theorem,Public,checked_annotated_codegen_correct_general,ParallelCodegen.checked_annotated_codegen_correct_general,ParallelCodegen,,,checked_annotated_codegen_correct_general,yes,1132,1148,17,1140,1147,Qed,8,6,4,annotated_codegen_correct_general;annotated_codegen_raw_correct_general;checked_annotated_codegen;checked_annotated_codegen_ok_inv,0,,1,driver/ParallelPolOpt.v:1141:ParallelCodegenCore.checked_annotated_codegen_correct_general,yes,yes,yes,yes,no,no,no,no,no,no,Checked endpoint correctness,ParallelCodegen public endpoints,Two-way dispatch to optimized/raw correctness.,Three identical short wrappers; vector discards innermost evidence after acceptance.,Keep endpoints explicit for discoverability; use the generic fallback inversion proof underneath. Document the semantic scope.,P1 wrapper cleanup,low,Directly or transitively used by a qualified external root; preserve name and type.
Theorem,Public,checked_vector_annotated_codegen_correct_general,ParallelCodegen.checked_vector_annotated_codegen_correct_general,ParallelCodegen,,,checked_vector_annotated_codegen_correct_general,yes,1149,1165,17,1157,1164,Qed,8,6,4,checked_vector_annotated_codegen;checked_vector_annotated_codegen_ok_inv;vector_annotated_codegen_correct_general;vector_annotated_codegen_raw_correct_general,0,,1,driver/ParallelPolOpt.v:1159:ParallelCodegenCore.checked_vector_annotated_codegen_correct_general,yes,yes,yes,yes,no,no,no,no,no,no,Checked endpoint correctness,ParallelCodegen public endpoints,Two-way dispatch to optimized/raw correctness.,Three identical short wrappers; vector discards innermost evidence after acceptance.,Keep endpoints explicit for discoverability; use the generic fallback inversion proof underneath. Document the semantic scope.,P1 wrapper cleanup,low,Directly or transitively used by a qualified external root; preserve name and type.
Theorem,Public,checked_annotated_codegen_many_correct_general,ParallelCodegen.checked_annotated_codegen_many_correct_general,ParallelCodegen,,,checked_annotated_codegen_many_correct_general,yes,1166,1183,18,1174,1181,Qed,8,6,4,annotated_codegen_many_correct_general;annotated_codegen_many_raw_correct_general;checked_annotated_codegen_many;checked_annotated_codegen_many_ok_inv,0,,2,driver/VerifiedParallelCompilerConfig.v:304:ParallelCodegenCore.checked_annotated_codegen_many_correct_general;driver/ParallelPolOptCorrect.v:108:Core.ParallelCodegenCore.checked_annotated_codegen_many_correct_general,yes,yes,no,no,yes,yes,yes,yes,no,no,Checked endpoint correctness,ParallelCodegen public endpoints,Two-way dispatch to optimized/raw correctness.,Three identical short wrappers; vector discards innermost evidence after acceptance.,Keep endpoints explicit for discoverability; use the generic fallback inversion proof underneath. Document the semantic scope.,P1 wrapper cleanup,low,Directly or transitively used by a qualified external root; preserve name and type.
